Date/Time,Y,X1,X2,X3,X4,X5
31 Jul 1958,20,23.6,3.19,9.52,7.88,-4.58
31 Aug 1958,21.4,20,23.6,3.19,9.52,7.88
30 Sep 1958,-11.54,21.4,20,23.6,3.19,9.52
31 Oct 1958,0,-11.54,21.4,20,23.6,3.19
30 Nov 1958,37.04,0,-11.54,21.4,20,23.6
31 Dec 1958,15.57,37.04,0,-11.54,21.4,20
31 Jan 1959,5.23,15.57,37.04,0,-11.54,21.4
28 Feb 1959,-2.12,5.23,15.57,37.04,0,-11.54
31 Mar 1959,3.46,-2.12,5.23,15.57,37.04,0
30 Apr 1959,-6.48,3.46,-2.12,5.23,15.57,37.04
31 May 1959,-5.03,-6.48,3.46,-2.12,5.23,15.57
30 Jun 1959,-6.12,-5.03,-6.48,3.46,-2.12,5.23
31 Jul 1959,-5.39,-6.12,-5.03,-6.48,3.46,-2.12
31 Aug 1959,-11.66,-5.39,-6.12,-5.03,-6.48,3.46
30 Sep 1959,-3.45,-11.66,-5.39,-6.12,-5.03,-6.48
31 Oct 1959,0,-3.45,-11.66,-5.39,-6.12,-5.03
30 Nov 1959,-2.8,0,-3.45,-11.66,-5.39,-6.12
31 Dec 1959,-13.74,-2.8,0,-3.45,-11.66,-5.39
31 Jan 1960,-5.19,-13.74,-2.8,0,-3.45,-11.66
28 Feb 1960,-0.78,-5.19,-13.74,-2.8,0,-3.45
31 Mar 1960,1.77,-0.78,-5.19,-13.74,-2.8,0
30 Apr 1960,0.77,1.77,-0.78,-5.19,-13.74,-2.8
31 May 1960,-16.89,0.77,1.77,-0.78,-5.19,-13.74
30 Jun 1960,-4.85,-16.89,0.77,1.77,-0.78,-5.19
31 Jul 1960,5.83,-4.85,-16.89,0.77,1.77,-0.78
31 Aug 1960,-0.46,5.83,-4.85,-16.89,0.77,1.77
30 Sep 1960,-7.14,-0.46,5.83,-4.85,-16.89,0.77
31 Oct 1960,-6.2,-7.14,-0.46,5.83,-4.85,-16.89
30 Nov 1960,5.82,-6.2,-7.14,-0.46,5.83,-4.85
31 Dec 1960,-8.25,5.82,-6.2,-7.14,-0.46,5.83
31 Jan 1961,11.17,-8.25,5.82,-6.2,-7.14,-0.46
28 Feb 1961,0.49,11.17,-8.25,5.82,-6.2,-7.14
31 Mar 1961,-1.46,0.49,11.17,-8.25,5.82,-6.2
30 Apr 1961,-2.48,-1.46,0.49,11.17,-8.25,5.82
31 May 1961,0.76,-2.48,-1.46,0.49,11.17,-8.25
30 Jun 1961,-10.83,0.76,-2.48,-1.46,0.49,11.17
31 Jul 1961,9.89,-10.83,0.76,-2.48,-1.46,0.49
31 Aug 1961,-4.11,9.89,-10.83,0.76,-2.48,-1.46
30 Sep 1961,-0.27,-4.11,9.89,-10.83,0.76,-2.48
31 Oct 1961,34.68,-0.27,-4.11,9.89,-10.83,0.76
30 Nov 1961,1.8,34.68,-0.27,-4.11,9.89,-10.83
31 Dec 1961,31.76,1.8,34.68,-0.27,-4.11,9.89
31 Jan 1962,-8.48,31.76,1.8,34.68,-0.27,-4.11
28 Feb 1962,-14.96,-8.48,31.76,1.8,34.68,-0.27
31 Mar 1962,-5.54,-14.96,-8.48,31.76,1.8,34.68
30 Apr 1962,3.04,-5.54,-14.96,-8.48,31.76,1.8
31 May 1962,-12.18,3.04,-5.54,-14.96,-8.48,31.76
30 Jun 1962,-1.12,-12.18,3.04,-5.54,-14.96,-8.48
31 Jul 1962,7.69,-1.12,-12.18,3.04,-5.54,-14.96
31 Aug 1962,1.68,7.69,-1.12,-12.18,3.04,-5.54
30 Sep 1962,-0.21,1.68,7.69,-1.12,-12.18,3.04
31 Oct 1962,2.07,-0.21,1.68,7.69,-1.12,-12.18
30 Nov 1962,10.55,2.07,-0.21,1.68,7.69,-1.12
31 Dec 1962,5.69,10.55,2.07,-0.21,1.68,7.69
31 Jan 1963,22.74,5.69,10.55,2.07,-0.21,1.68
28 Feb 1963,-1.56,22.74,5.69,10.55,2.07,-0.21
31 Mar 1963,-0.86,-1.56,22.74,5.69,10.55,2.07
30 Apr 1963,15.8,-0.86,-1.56,22.74,5.69,10.55
31 May 1963,10.26,15.8,-0.86,-1.56,22.74,5.69
30 Jun 1963,-1.02,10.26,15.8,-0.86,-1.56,22.74
31 Jul 1963,3.9,-1.02,10.26,15.8,-0.86,-1.56
31 Aug 1963,14.9,3.9,-1.02,10.26,15.8,-0.86
30 Sep 1963,9.03,14.9,3.9,-1.02,10.26,15.8
31 Oct 1963,7.67,9.03,14.9,3.9,-1.02,10.26
30 Nov 1963,9.66,7.67,9.03,14.9,3.9,-1.02
31 Dec 1963,2.46,9.66,7.67,9.03,14.9,3.9
31 Jan 1964,3.5,2.46,9.66,7.67,9.03,14.9
28 Feb 1964,3.38,3.5,2.46,9.66,7.67,9.03
31 Mar 1964,-1.5,3.38,3.5,2.46,9.66,7.67
30 Apr 1964,1.87,-1.5,3.38,3.5,2.46,9.66
31 May 1964,-14.04,1.87,-1.5,3.38,3.5,2.46
30 Jun 1964,-2.45,-14.04,1.87,-1.5,3.38,3.5
31 Jul 1964,7.04,-2.45,-14.04,1.87,-1.5,3.38
31 Aug 1964,-2.12,7.04,-2.45,-14.04,1.87,-1.5
30 Sep 1964,2.93,-2.12,7.04,-2.45,-14.04,1.87
31 Oct 1964,3.75,2.93,-2.12,7.04,-2.45,-14.04
30 Nov 1964,11.42,3.75,2.93,-2.12,7.04,-2.45
31 Dec 1964,-3.89,11.42,3.75,2.93,-2.12,7.04
31 Jan 1965,-8.51,-3.89,11.42,3.75,2.93,-2.12
28 Feb 1965,-11.07,-8.51,-3.89,11.42,3.75,2.93
31 Mar 1965,-1.33,-11.07,-8.51,-3.89,11.42,3.75
30 Apr 1965,5.72,-1.33,-11.07,-8.51,-3.89,11.42
31 May 1965,-6.52,5.72,-1.33,-11.07,-8.51,-3.89
30 Jun 1965,-6.55,-6.52,5.72,-1.33,-11.07,-8.51
31 Jul 1965,5.65,-6.55,-6.52,5.72,-1.33,-11.07
31 Aug 1965,2.16,5.65,-6.55,-6.52,5.72,-1.33
30 Sep 1965,-5.23,2.16,5.65,-6.55,-6.52,5.72
31 Oct 1965,14.96,-5.23,2.16,5.65,-6.55,-6.52
30 Nov 1965,8.37,14.96,-5.23,2.16,5.65,-6.55
31 Dec 1965,1.86,8.37,14.96,-5.23,2.16,5.65
31 Jan 1966,32.28,1.86,8.37,14.96,-5.23,2.16
28 Feb 1966,10.29,32.28,1.86,8.37,14.96,-5.23
31 Mar 1966,13.95,10.29,32.28,1.86,8.37,14.96
30 Apr 1966,19.63,13.95,10.29,32.28,1.86,8.37
31 May 1966,1.8,19.63,13.95,10.29,32.28,1.86
30 Jun 1966,-3.99,1.8,19.63,13.95,10.29,32.28
31 Jul 1966,9.75,-3.99,1.8,19.63,13.95,10.29
31 Aug 1966,-16.09,9.75,-3.99,1.8,19.63,13.95
30 Sep 1966,12.35,-16.09,9.75,-3.99,1.8,19.63
31 Oct 1966,10.92,12.35,-16.09,9.75,-3.99,1.8
30 Nov 1966,-0.13,10.92,12.35,-16.09,9.75,-3.99
31 Dec 1966,-11.12,-0.13,10.92,12.35,-16.09,9.75
31 Jan 1967,28.42,-11.12,-0.13,10.92,12.35,-16.09
28 Feb 1967,2.76,28.42,-11.12,-0.13,10.92,12.35
31 Mar 1967,-6.58,2.76,28.42,-11.12,-0.13,10.92
30 Apr 1967,-1.35,-6.58,2.76,28.42,-11.12,-0.13
31 May 1967,3.67,-1.35,-6.58,2.76,28.42,-11.12
30 Jun 1967,-10.88,3.67,-1.35,-6.58,2.76,28.42
31 Jul 1967,3.72,-10.88,3.67,-1.35,-6.58,2.76
31 Aug 1967,12.25,3.72,-10.88,3.67,-1.35,-6.58
30 Sep 1967,12.84,12.25,3.72,-10.88,3.67,-1.35
31 Oct 1967,13.15,12.84,12.25,3.72,-10.88,3.67
30 Nov 1967,2.1,13.15,12.84,12.25,3.72,-10.88
31 Dec 1967,4.36,2.1,13.15,12.84,12.25,3.72
31 Jan 1968,22.1,4.36,2.1,13.15,12.84,12.25
28 Feb 1968,14.27,22.1,4.36,2.1,13.15,12.84
31 Mar 1968,-9.36,14.27,22.1,4.36,2.1,13.15
30 Apr 1968,-1.81,-9.36,14.27,22.1,4.36,2.1
31 May 1968,-5.47,-1.81,-9.36,14.27,22.1,4.36
30 Jun 1968,-10.45,-5.47,-1.81,-9.36,14.27,22.1
31 Jul 1968,21.31,-10.45,-5.47,-1.81,-9.36,14.27
31 Aug 1968,5.85,21.31,-10.45,-5.47,-1.81,-9.36
30 Sep 1968,7.83,5.85,21.31,-10.45,-5.47,-1.81
31 Oct 1968,15.03,7.83,5.85,21.31,-10.45,-5.47
30 Nov 1968,3.28,15.03,7.83,5.85,21.31,-10.45
31 Dec 1968,28.18,3.28,15.03,7.83,5.85,21.31
31 Jan 1969,19.84,28.18,3.28,15.03,7.83,5.85
28 Feb 1969,-3.12,19.84,28.18,3.28,15.03,7.83
31 Mar 1969,-5.76,-3.12,19.84,28.18,3.28,15.03
30 Apr 1969,5.75,-5.76,-3.12,19.84,28.18,3.28
31 May 1969,43.56,5.75,-5.76,-3.12,19.84,28.18
30 Jun 1969,-6.44,43.56,5.75,-5.76,-3.12,19.84
31 Jul 1969,34.16,-6.44,43.56,5.75,-5.76,-3.12
31 Aug 1969,107.73,34.16,-6.44,43.56,5.75,-5.76
30 Sep 1969,-14.35,107.73,34.16,-6.44,43.56,5.75
31 Oct 1969,-18.27,-14.35,107.73,34.16,-6.44,43.56
30 Nov 1969,15.63,-18.27,-14.35,107.73,34.16,-6.44
31 Dec 1969,-13.44,15.63,-18.27,-14.35,107.73,34.16
31 Jan 1970,25.75,-13.44,15.63,-18.27,-14.35,107.73
28 Feb 1970,-11.44,25.75,-13.44,15.63,-18.27,-14.35
31 Mar 1970,-14.41,-11.44,25.75,-13.44,15.63,-18.27
30 Apr 1970,1.16,-14.41,-11.44,25.75,-13.44,15.63
31 May 1970,-16.47,1.16,-14.41,-11.44,25.75,-13.44
30 Jun 1970,11.25,-16.47,1.16,-14.41,-11.44,25.75
31 Jul 1970,28.29,11.25,-16.47,1.16,-14.41,-11.44
31 Aug 1970,4.08,28.29,11.25,-16.47,1.16,-14.41
30 Sep 1970,-10.8,4.08,28.29,11.25,-16.47,1.16
31 Oct 1970,-4.96,-10.8,4.08,28.29,11.25,-16.47
30 Nov 1970,-3.14,-4.96,-10.8,4.08,28.29,11.25
31 Dec 1970,21.28,-3.14,-4.96,-10.8,4.08,28.29
31 Jan 1971,-9.32,21.28,-3.14,-4.96,-10.8,4.08
28 Feb 1971,10.73,-9.32,21.28,-3.14,-4.96,-10.8
31 Mar 1971,-9.39,10.73,-9.32,21.28,-3.14,-4.96
30 Apr 1971,-4.58,-9.39,10.73,-9.32,21.28,-3.14
31 May 1971,-14.15,-4.58,-9.39,10.73,-9.32,21.28
30 Jun 1971,-5.77,-14.15,-4.58,-9.39,10.73,-9.32
31 Jul 1971,-8.9,-5.77,-14.15,-4.58,-9.39,10.73
31 Aug 1971,-7.3,-8.9,-5.77,-14.15,-4.58,-9.39
